OrderID,OrderDate,CustomerName,Region,ProductCategory,ProductName,Quantity,UnitPrice,Discount,SalesRep,,,,
ORD-001,11/23/2026,Pied Piper,South,Furniture,Ergonomic Chair,18,70.85,0.15,Jordan Lee,,,,
ORD-002,01/16/2026,TechNova,N,Electronics,Bluetooth Speaker,14,84.94,0.1,Jordan Lee,,,,
ORD-003,03/22/2026,Stark Ind,South,Electronics,USB-C Hub,13,42.87,0.1,Maria Chen,,,,
ORD-004,01/15/2026,Bluth Company,N,Electronics,Bluetooth Speaker,10,291.99,0.1,Maria Chen,,,,
ORD-005,08/04/2026,,East,Electronics,USB-C Hub,13,104.5,0.1,Priya Sharma,,,,
ORD-006,07/08/2026,Initech,S,Electronics,Power Bank,13,101.77,0.05,Alex Kim,,,,
ORD-007,01/29/2026,Oceanic Airlines,West,Electronics,Keyboard,19,307.95,0.1,Priya Sharma,,,,
ORD-008,12/01/2026,Massive Dynamic,South,Electronics,Keyboard,18,193.24,0.15,Maria Chen,,,,
ORD-009,07/23/2026,Stark Ind,West,Electronics,USB-C Hub,5,223.32,0.15,Maria Chen,,,,
ORD-010,02/02/2026,Massive Dynamic,East,Furniture,Ergonomic Chair,18,382.9,0.1,Jordan Lee,,,,
ORD-011,05/30/2026,Dunder Mifflin,South,Furniture,Bookshelf,17,316.21,0,Alex Kim,,,,
ORD-012,03/23/2026,Sterling Cooper,N,Office Supplies,Highlighter Set,1,13.61,0.1,Alex Kim,,,,
ORD-013,05/02/2026,Initech,N,Electronics,Bluetooth Speaker,5,53.64,0.2,Maria Chen,,,,
ORD-014,03/25/2026,Soylent Corp,South,Furniture,Bookshelf,13,497.71,0.1,Sam Okafor,,,,
ORD-015,09/21/2026,Initech,East,Furniture,Drawer Unit,8,306.56,0,Jordan Lee,,,,
ORD-016,12/28/2026,Globex Inc,East,Furniture,Filing Cabinet,9,344.41,0.05,Maria Chen,,,,
ORD-017,08/03/2026,Vandelay Industries,West,Office Supplies,Paper Ream,7,12.1,0.15,Alex Kim,,,,
ORD-018,08/04/2026,Globex Inc,North,Office Supplies,Desk Organizer,4,25.37,0.05,Maria Chen,,,,
ORD-019,08/17/2026,Massive Dynamic,South,Office Supplies,Tape Dispenser,4,8.34,0,Jordan Lee,,,,
ORD-020,05/01/2026,Hooli,West,Electronics,HDMI Cable,1,345,0.1,Sam Okafor,,,,
